heat_seq,heat_id,steel_grade,predicted_tap_weight,predicted_chemistry,suggested_recipe
101,heat-1001,ST1,926.8556443194318,{'cu_pct': 0.07046637618039586},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
101,heat-1002,ST1,936.5153135599154,{'cu_pct': 0.047885250740992646},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
101,heat-1003,ST1,910.7477694048514,{'cu_pct': 0.08659695691410593},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
101,heat-1004,ST1,930.4955359212054,{'cu_pct': 0.08566714235894639},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
101,heat-1005,ST1,983.9364109507118,{'cu_pct': 0.08268053471486124},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1006,ST2,942.3799143917536,{'cu_pct': 0.032280487145584104},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1007,ST2,937.7728727346084,{'cu_pct': 0.035535003021463576},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1008,ST2,937.029900550256,{'cu_pct': 0.011796064060595378},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1009,ST2,913.6914080192989,{'cu_pct': 0.08192146078729738},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1010,ST2,1013.4519716660677,{'cu_pct': 0.10759684976843159},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
102,heat-1011,ST2,942.5273063189647,{'cu_pct': 0.08071817313930547},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
103,heat-1012,ST3,854.0921298280047,{'cu_pct': 0.01070950511751242},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
103,heat-1013,ST3,1034.4191448648305,{'cu_pct': 0.14397155566186687},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
103,heat-1014,ST3,882.0478857599675,{'cu_pct': 0.01664692848280875},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
103,heat-1015,ST3,990.3686424535166,{'cu_pct': 0.06033612937416029},"{'bushling': 200, 'pig_iron': 300, 'municipal_shred': 350, 'skulls': 200}"
